csa_name_mod2_x,company_id,company_name_x,shift_lead_time_fs,head_count_requested_fs,head_count_worked_fs,fill_rate_fs,total_shifts_f30d,total_head_count_minus_fs,total_head_count_minus_f30d,year_quarter_comp_start_x,head_count_worked_f30d,head_count_requested_f30d,fill_rate_f30d,shifts_worked_f30d,avg_days_between_shifts_f30d,csa_name_mod2_y,company_name_y,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start_y
All Other Markets Combined,4498,Ridley's Family Markets - Midway,4,2,3,1.5,15,99,45,2022Q3,29,56,0.5179,15,1.9286,All Other Markets Combined,Ridley's Family Markets - Midway,4.0,4.0,1.0,Retail,1.0,16.0,307.25,217.6,3.0,4.0,2022Q3
All Other Markets Combined,4510,Premier Appliance,1,4,1,0.25,11,17,-24,2022Q3,21,45,0.4667,11,0.9,All Other Markets Combined,Premier Appliance,,,,,,,,,,,2022Q3
All Other Markets Combined,4519,EP Event Rentals/Elegant Presentations,21,2,1,0.5,3,119,115,2022Q3,3,6,0.5,3,7.5,All Other Markets Combined,EP Event Rentals/Elegant Presentations,,,,,,,,,,,2022Q3
All Other Markets Combined,4520,Shamrock Foods Corporate,41,15,4,0.2667,1,20,-25,2022Q3,4,60,0.0667,1,,All Other Markets Combined,Shamrock Foods Corporate,11.0,20.0,0.55,Food Services,20.0,27.25,97.0,895.2,,20.0,2022Q3
"Salt Lake City-Provo-Orem, UT",4522,Jenkins Restorations - San Antonio,1,3,3,1.0,16,158,42,2023Q2,41,119,0.3445,16,1.8,"Salt Lake City-Provo-Orem, UT",Jenkins Restorations - San Antonio,149.0,161.0,0.9255,Construction,1.9383,17.0,12.7126,6412.88,2.2436,157.0,2023Q2
All Other Markets Combined,4523,Southern Landscape Designs,0,2,1,0.5,4,9,1,2022Q3,5,10,0.5,4,7.0,All Other Markets Combined,Southern Landscape Designs,,,,,,,,,,,2022Q3
All Other Markets Combined,4527,Madison Window Cleaning,19,2,1,0.5,2,2,0,2022Q3,2,4,0.5,2,0.0,All Other Markets Combined,Madison Window Cleaning,,,,,,,,,,,2022Q3
All Other Markets Combined,4530,Lykes Cartage,6,1,1,1.0,1,0,0,2022Q3,1,1,1.0,1,,All Other Markets Combined,Lykes Cartage,,,,,,,,,,,2022Q3
All Other Markets Combined,4537,Re-Creation Home Staging & Redesign LLC,1,1,1,1.0,1,4,4,2022Q3,1,1,1.0,1,,All Other Markets Combined,Re-Creation Home Staging & Redesign LLC,4.0,4.0,1.0,Real Estate,1.0,19.0,156.5,103.42,23.0,4.0,2022Q3
"Salt Lake City-Provo-Orem, UT",4538,GreenHollow Catering,9,1,3,3.0,2,3,-3,2022Q3,5,7,0.7143,2,7.0,"Salt Lake City-Provo-Orem, UT",GreenHollow Catering,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",4548,Hawkboyz Moving LLC,1,1,1,1.0,3,3,1,2022Q3,3,3,1.0,3,7.0,"Dallas-Fort Worth, TX-OK",Hawkboyz Moving LLC,,,,,,,,,,,2022Q3
All Other Markets Combined,4549,Medina golf and country club,3,1,1,1.0,28,147,117,2022Q3,30,31,0.9677,28,1.0,All Other Markets Combined,Medina golf and country club,30.0,37.0,0.8108,Food Services,1.2703,17.135135135135137,42.3263,1162.28,11.3077,47.0,2022Q3
All Other Markets Combined,4555,Heco Sling Corp,8,1,1,1.0,5,4,0,2022Q3,5,5,1.0,5,1.75,All Other Markets Combined,Heco Sling Corp,,,,,,,,,,,2022Q3
All Other Markets Combined,4556,MODERN EVENT RENTAL,12,4,1,0.25,1,0,0,2022Q3,1,4,0.25,1,,All Other Markets Combined,MODERN EVENT RENTAL,,,,,,,,,,,2022Q3
All Other Markets Combined,4557,Aramark Tucson,48,50,25,0.5,5,350,-4312,2022Q3,101,4712,0.0214,5,6.75,All Other Markets Combined,Aramark Tucson,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",4562,Pegasus Industries,1,2,2,1.0,49,1340,1240,2022Q3,67,102,0.6569,49,0.375,"Dallas-Fort Worth, TX-OK",Pegasus Industries,438.0,454.0,0.9648,Warehouse,1.2963,19.17948717948718,4.7446,25601.13,0.5845,455.0,2022Q3
"Dallas-Fort Worth, TX-OK",4564,Game Nerdz,1,2,3,1.5,35,515,-234,2022Q3,108,751,0.1438,35,0.6471,"Dallas-Fort Worth, TX-OK",Game Nerdz,62.0,115.0,0.5391,Warehouse,3.0,16.58974358974359,3.2667,2468.05,8.9118,117.0,2022Q3
